# BEAST v1.8.1, r6542
# Generated Wed Jan 21 11:40:54 PST 2015 [seed=1421869242079]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
49000	-246708.34332438678	-611.9425040102082	-246096.40082037656	2155.8748238424623	868.1196405631603	0.1570828090270795	-246096.40082037656	-607.0271566369482
50000	-246599.67483304738	-603.9521959683117	-245995.72263707907	2511.4939710337876	700.265694876421	0.1568713895313617	-245995.72263707907	-599.2530651254758
51000	-246434.2372415238	-597.0246630611771	-245837.21257846264	1206.0317945540644	563.9752192656686	0.1559405307484381	-245837.21257846264	-592.5479333056803
52000	-246215.99307691547	-591.0273151631415	-245624.96576175233	1031.0881370244372	646.9419618703615	0.14152746627861015	-245624.96576175233	-586.5103200488696
53000	-246026.8313117977	-593.9160448339726	-245432.9152669637	980.9251853772803	606.64215454738	0.12445186504555399	-245432.9152669637	-589.591942011955
54000	-245939.7919104985	-588.7752672060287	-245351.01664329247	1777.8383506464259	582.826301431407	0.12491216073539607	-245351.01664329247	-584.4875225061127
55000	-245862.266436947	-588.2494853639705	-245274.016951583	1576.756380953281	651.3252605064949	0.12446219253000475	-245274.016951583	-583.8542294980757
56000	-245828.46230421274	-585.8220662254803	-245242.64023798725	941.0620536066247	529.145662035264	0.12443613964623224	-245242.64023798725	-581.6347651072027
57000	-245792.59218926344	-589.0723482451469	-245203.51984101828	958.1672142509899	652.6877032777574	0.1167488444257215	-245203.51984101828	-584.7389797597946
58000	-245774.57921052465	-585.1423344677395	-245189.43687605692	1337.2954070992669	621.4425367149369	0.11927807957205896	-245189.43687605692	-580.8365887289124
59000	-245769.30650957368	-586.5882092162492	-245182.71830035743	910.5379969885304	610.956932824416	0.11941224979796301	-245182.71830035743	-582.298356234601
60000	-245747.81788098472	-588.2137175824639	-245159.60416340225	1265.8419091850808	657.7538326607608	0.11665006826528729	-245159.60416340225	-583.8734635309345
61000	-245589.0778747023	-585.8049416397134	-245003.2729330626	899.2569752267505	546.549636852374	0.11644288373876735	-245003.2729330626	-581.651670903944
62000	-245600.39069029983	-585.2419295644244	-245015.1487607354	897.9525258162769	637.0266342489542	0.11607453665185843	-245015.1487607354	-580.9386408346023
63000	-245588.41833534674	-583.2699695443922	-245005.14836580234	1248.409344486161	590.3752735556665	0.11588675378405762	-245005.14836580234	-579.0443529780275
64000	-245585.97911929735	-586.7854594167402	-244999.1936598806	2271.4069931100494	579.0108670094291	0.11630190132951851	-244999.1936598806	-582.5757040418606
65000	-245580.99888345346	-583.7567844079965	-244997.24209904546	895.216122470572	548.8317577548419	0.11687949087838334	-244997.24209904546	-579.5956043331137
66000	-245589.20996682456	-587.2366756742637	-245001.9732911503	1215.3393873366845	519.0495478676809	0.11648220304804871	-245001.9732911503	-583.1346931088834
67000	-245594.40853033995	-587.7988116359938	-245006.60971870396	1419.645323247729	444.0722258810742	0.11662368425408182	-245006.60971870396	-583.8516273176174
68000	-245592.681201955	-585.0851833433959	-245007.59601861163	1443.6895290777138	625.875927919688	0.11570454199282441	-245007.59601861163	-580.8027465790677
69000	-245588.3566550803	-586.2389289307912	-245002.1177261495	1318.3433199880906	528.1501357154311	0.11283545808177398	-245002.1177261495	-582.1513729841759
70000	-245580.94618857256	-588.6007991566775	-244992.3453894159	1389.3804128731426	582.858902405823	0.11482914185470434	-244992.3453894159	-584.3971639979079
71000	-245550.41610079753	-585.53787250872	-244964.8782282888	982.7445337871021	537.7303946481851	0.1146397772691777	-244964.8782282888	-581.4164756376886
72000	-245534.83408435245	-591.0664083705445	-244943.76767598192	3112.404477554639	601.0305776487594	0.10900355952523004	-244943.76767598192	-586.8841373004436
73000	-245532.29077238764	-588.7538478112283	-244943.53692457642	1050.336152313533	521.3969578579864	0.10986198123043282	-244943.53692457642	-584.7058665614026
74000	-245543.05982156377	-593.1826326245499	-244949.87718893922	2972.965527170452	628.548944459998	0.10911331524586698	-244949.87718893922	-588.9545870718562
75000	-245536.74228475222	-593.3959676478662	-244943.34631710435	920.6969740714231	676.5290478480938	0.10605434058564552	-244943.34631710435	-589.1227959319411
76000	-245531.45105685727	-592.6060845313003	-244938.84497232598	1180.15492126651	491.0257352759653	0.10613334802153124	-244938.84497232598	-588.6526469661616
77000	-245529.60621400256	-592.8372493879364	-244936.76896461463	1830.2450876923192	599.46588047697	0.10467624114360828	-244936.76896461463	-588.6980934384192
78000	-245523.85924835797	-589.5837520221994	-244934.27549633576	985.7762061293871	487.8555955153353	0.10881169388725287	-244934.27549633576	-585.6118690407203
79000	-245521.0344350137	-590.8438406261602	-244930.19059438753	1368.092494923048	647.572851974532	0.10881414008517999	-244930.19059438753	-586.5887233152002
80000	-245515.18446156936	-586.5161818818123	-244928.66827968755	1092.0646024736693	637.1674541136678	0.11182345919070615	-244928.66827968755	-582.2499832900007
81000	-245511.31423880727	-592.3062415113161	-244919.00799729596	1816.5355210479884	598.2479732815469	0.10954499330255145	-244919.00799729596	-588.1236560886591
82000	-245479.56219670063	-588.0070893052191	-244891.5551073954	1221.8215762691293	706.9817218950212	0.11159635414565713	-244891.5551073954	-583.638951391219
83000	-245479.87994958594	-588.6431715816224	-244891.23677800433	2118.0165736578433	626.3414832130023	0.11032143032087584	-244891.23677800433	-584.4076329392942
84000	-245474.43099210502	-585.1228289423797	-244889.30816316264	1034.4549164510684	516.0861707722197	0.11089578135447341	-244889.30816316264	-581.0757196186553
85000	-245453.1814760733	-587.7156879253108	-244865.465788148	1312.5816931118275	680.605362923863	0.10802108037004922	-244865.465788148	-583.4181341658682
86000	-245447.24313018186	-588.6140266611324	-244858.62910352074	1298.46841129581	481.85980074419666	0.10691655196351589	-244858.62910352074	-584.6720800962006
87000	-245445.48485661915	-590.1910341298085	-244855.29382248933	2194.818060872202	626.934536892076	0.10384536901952929	-244855.29382248933	-586.0150443241265
88000	-245440.7734587265	-587.7501114043664	-244853.02334732213	1007.3966357694568	626.4696775989297	0.1038583780625474	-244853.02334732213	-583.5747380881467
89000	-245448.63000230293	-588.813121921387	-244859.81688038155	1483.6714257114913	593.8985946590723	0.1034371590400051	-244859.81688038155	-584.6952043423664
90000	-245414.99351338047	-585.8593521267417	-244829.13416125372	946.2654461591468	542.0924051190347	0.10830079821506927	-244829.13416125372	-581.7867584052796
91000	-245367.11387296973	-580.6802930425526	-244786.43357992716	903.3691176440169	549.84825215625	0.10591926572363182	-244786.43357992716	-576.6157288267505
92000	-245373.4591889292	-582.8518934273216	-244790.6072955019	902.0155847072164	568.0723665256257	0.10563740045320322	-244790.6072955019	-578.7573874103163
93000	-245368.03111734608	-584.6872533169357	-244783.34386402916	902.6180946395205	531.4933174490455	0.1051126816071699	-244783.34386402916	-580.6642850383191
94000	-245364.55357928335	-583.0327482249169	-244781.52083105844	899.9714094583431	629.1609907191082	0.10455572115494348	-244781.52083105844	-578.8463961867692
95000	-245362.56399197644	-584.7144741283086	-244777.84951784814	899.9031022744979	610.6592097822229	0.1074110764440924	-244777.84951784814	-580.531027052471
96000	-245364.00206429965	-585.6167683190645	-244778.38529598058	899.9031022744979	522.5562347231627	0.10426186334004524	-244778.38529598058	-581.6188853425032
97000	-245362.00819524407	-587.5642566976055	-244774.44393854646	900.7349943641981	484.3959226150261	0.10337497868741649	-244774.44393854646	-583.6507464351606
98000	-245364.80254437882	-586.4106321823562	-244778.39191219647	900.0997294780636	550.5682574069418	0.1037359807772427	-244778.39191219647	-582.3655874962633
99000	-245367.2309777927	-588.0722972111819	-244779.15868058152	898.9734820720753	459.0148495556168	0.1053488628774044	-244779.15868058152	-584.1936925822216
100000	-245356.84406931212	-589.729466782896	-244767.11460252924	901.7655632066896	804.15267707715	0.10243112535429721	-244767.11460252924	-585.3182422889078
101000	-245358.19581590692	-588.1078393638307	-244770.0879765431	902.9634483450492	657.6378050730145	0.10174106075359671	-244770.0879765431	-583.9045093457954
102000	-245374.6069597186	-588.1569768463806	-244786.44998287223	904.1233752509918	574.3422599458199	0.09957753192890449	-244786.44998287223	-584.1105700789602
